DapipId,AgencyId,AgencyName,ProgramId,ProgramName,SequentialId,InitialDateFlag,AccreditationDate,AccreditationStatus,ReviewDate,DepartmentDescription,AccreditationEndDate,EndingActionId
149134,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,1/1/1977 12:00:00 AM,Accredited,1/1/2014,,8/1/2011 12:00:00 AM,1
149143,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,12/1/1974 12:00:00 AM,Accredited,12/31/2029,,,
150400,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,1/1/1975 12:00:00 AM,Accredited,06/30/2027,,,
150190,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,1/1/1973 12:00:00 AM,Accredited,06/30/2022,,11/30/2022 12:00:00 AM,2
150190,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,2,Actual,7/24/2020 12:00:00 AM,Accredited,06/30/2032,,,
146506005,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,7/15/2026 12:00:00 AM,Accredited,12/31/2030,,,
144494002,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,11/8/2021 12:00:00 AM,Accredited,12/31/2033,,,
192749,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,10/24/2008 12:00:00 AM,Accredited,12/31/2025,,5/31/2023 12:00:00 AM,2
147004002,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Actual,7/29/2022 12:00:00 AM,Accredited,06/30/2028,,,
171429004,27,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Estimated,11/10/2014 12:00:00 AM,Preaccredited,,,10/20/2015 12:00:00 AM,1
